Gediminas Bagdonas
Romain Bardet
François Bidard
Geoffrey Bouchard
Clément Champoussin
Mikaël Chérel
Clément Chevrier
Benoît Cosnefroy
Nico Denz
Silvan Dillier
Axel Domont
Samuel Dumoulin
Hubert Dupont
Julien Duval
Mathias Frank
Tony Gallopin
Ben Gastauer
Alexandre Geniez
Dorian Godon
Alexis Gougeard
Jaakko Hänninen
Quentin Jauregui
Matteo Jorgenson
Anthony Jullien
Pierre Latour
Oliver Naesen
Aurélien Paret-Peintre
Nans Peters
Stijn Vandenbergh
Clément Venturini
Alexis Vuillermoz
Lawrence Warbasse

Davide Ballerini
Pello Bilbao
Zhandos Bizhigitov
Manuele Boaro
Hernando Bohorquez
Dario Cataldo
Rodrigo Contreras
Magnus Cort
Laurens De Vreese
Daniil Fominykh
Omar Fraile
Jakob Fuglsang
Yevgeniy Gidich
Jonas Gregaard
Dmitriy Gruzdev
Jan Hirt
Hugo Houle
Gorka Izagirre
Ion Izagirre
Merhawi Kudus
Miguel Ángel López
Alexey Lutsenko
Yuriy Natarov
Vadim Pronskiy
Luis León Sánchez
Nikita Stalnov
Davide Villella
Artyom Zakharov
Andrey Zeits

Valerio Agnoli
Yukiya Arashiro
Phil Bauhaus
Grega Bole
Damiano Caruso
Sonny Colbrelli
Rohan Dennis
Chun Kai Feng
Ivan Garcia
Andrea Garosio
Heinrich Haussler
Kristjan Koren
Matej Mohoric
Antonio Nibali
Vincenzo Nibali
Domen Novak
Mark Padun
Hermann Pernsteiner
Luka Pibernik
Domenico Pozzovivo
Marcel Sieberg
Dylan Teuns
Jan Tratnik
Meiyin Wang
Stephen Williams

Pascal Ackermann
Shane Archbold
Erik Baska
Cesare Benedetti
Sam Bennett
Maciej Bodnar
Emanuel Buchmann
Marcus Burghardt
Jempy Drucker
Davide Formolo
Oscar Gatto
Felix Großschartner
Peter Kennaugh
Patrick Konrad
Leopold König
Rafal Majka
Jay McCarthy
Gregor Muhlberger
Daniel Oss
Christoph Pfingsten
Pawel Poljanski
Lukas Pöstlberger
Juraj Sagan
Peter Sagan
Maximilian Schachmann
Andreas Schillinger
Michael Schwarzmann
Rüdiger Selig

Josef &#268;erný
Amaro Antunes
William Barta
Pawel Bernas
Patrick Bevin
Victor De La Parte
Alessandro De Marchi
Simon Geschke
Kamil Gradek
Jonas Koch
Jakub Mareczko
Lukasz Owsian
Serge Pauwels
Joey Rosskopf
Szymon Sajnok
Michael Schär
Laurens Ten Dam
Greg Van Avermaet
